DonorOrganization,RecipientCandidateNameNormalized,RecipientCandidateParty,DonorEntityType,total,,govtrack_id,
City National Corporation,Paul Hodes,Democratic,Individual,500,,,
ACA International,Rafael Edward Ted Cruz,Republican,,2500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Rafael Edward Ted Cruz,Republican,,5000,,,
Amarillo National Bank,Rafael Edward Ted Cruz,Republican,Individual,3350,,,
American International Group,Rafael Edward Ted Cruz,Republican,Individual,250,,,
Benchmark Hospitality International,Rafael Edward Ted Cruz,Republican,Individual,250,,,
Brenham National Bank,Rafael Edward Ted Cruz,Republican,Individual,2500,,,
Brinker International Inc. Pac,Rafael Edward Ted Cruz,Republican,Unknown,2000,,,
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE),Rafael Edward Ted Cruz,Republican,,1000,,,
Capital International Investors,Rafael Edward Ted Cruz,\N,Individual,2000,,,
Cash America International,Rafael Edward Ted Cruz,Republican,Individual,250,,,
Cobalt International Energy,Rafael Edward Ted Cruz,Republican,Individual,3750,,,
Cobalt Iternational Energy,Rafael Edward Ted Cruz,Republican,Individual,1250,,,
Cobat International Energy,Rafael Edward Ted Cruz,\N,Individual,2600,,,
Colliers International,Rafael Edward Ted Cruz,Republican,Individual,2750,,,
Copeland Consulting International,Rafael Edward Ted Cruz,Republican,Individual,250,,,
Council For National Policy,Rafael Edward Ted Cruz,Republican,Individual,2500,,,
Credit Union National Association,Rafael Edward Ted Cruz,Republican,,15000,,,
Crown Castle International,Rafael Edward Ted Cruz,Republican,Individual,2500,,,
Crown Castle International Corp,Rafael Edward Ted Cruz,Republican,Individual,5000,,,
Cybex International,Rafael Edward Ted Cruz,\N,Individual,2600,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Rand Paul,Republican,,5000,,,
Apex International,Rand Paul,Republican,Individual,200,,,
Baxter International,Rand Paul,Republican,Individual,400,,,
Beverly International Nutrition,Rand Paul,Republican,Individual,250,,,
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE),Rand Paul,Republican,,250,,,
Citizens National Bank,Rand Paul,Republican,Individual,500,,,
Cokem International,Rand Paul,Republican,Individual,500,,,
Credit Union National Association,Rand Paul,Republican,,20000,,,
Agt International,Richard Blumenthal,Democratic,Individual,250,,,
Castleton Commodities International,Richard Blumenthal,Democratic,Individual,500,,,
Center for National Policy,Richard Blumenthal,Democratic,Individual,600,,,
Credit Union National Association,Richard Blumenthal,Democratic,,5000,,,
Cruise Lines International Association,Richard Blumenthal,Democratic,,2500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Richard Burr,Republican,,15000,,,
Alliance One International  Inc. P,Richard Burr,Republican,Unknown,-1000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Richard Burr,Republican,,3000,,,
Baxter International,Richard Burr,Republican,,8000,,,
Brinker International,Richard Burr,Republican,,6500,,,
Colliers International,Richard Burr,Republican,Individual,1000,,,
Am J International Relations Institute,Richard Durbin,Democratic,Individual,500,,,
Argonne National Lab,Richard Durbin,Democratic,Individual,250,,,
Argonne National Labopratory,Richard Durbin,Democratic,Individual,250,,,
Argonne National Laboratory,Richard Durbin,Democratic,Individual,250,,,
Brinker International,Richard Durbin,\N,,11000,,,
Cellulose Sciences International,Richard Durbin,Democratic,Individual,250,,,
ACA International,Richard Shelby,Republican,,7000,,,
Axiom International Investors,Richard Shelby,Republican,Individual,2400,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Richard Shelby,Republican,,4000,,,
Building Owners and Managers Association International,Richard Shelby,Republican,,2500,,,
Cash America International,Richard Shelby,\N,,8000,,,
Credit Union National Association,Richard Shelby,Republican,,17500,,,
ACA International,Rob Portman,Republican,,5000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Rob Portman,Republican,,10000,,,
Acpac Aca International Political Action Committee,Rob Portman,\N,Unknown,-2500,,,
Arrow International,Rob Portman,\N,Individual,2600,,,
Arrow International Inc.,Rob Portman,\N,Individual,2400,,,
Axiom International Investor,Rob Portman,Republican,Individual,4800,,,
Axiom International Investors Llc,Rob Portman,Republican,Individual,2700,,,
Axlom International Investor,Rob Portman,\N,Individual,2600,,,
Baxter International,Rob Portman,Republican,Individual,2500,,,
Brinker International,Rob Portman,Republican,,4500,,,
Building Owners and Managers Association International,Rob Portman,\N,,6000,,,
Chiquita Brands International,Rob Portman,Republican,Individual,19200,,,
Chiqulta Brands International,Rob Portman,Republican,Individual,500,,,
Credit Union National Association,Rob Portman,\N,,11000,,,
Cruise Lines International Association,Rob Portman,Republican,,2500,,,
ACA International,Robert Andrews,\N,,6250,,,
Atas International,Robert Casey,\N,Individual,1000,,,
Berner International Corporation,Robert Casey,\N,Individual,4800,,,
Building Owners and Managers Association International,Robert Casey,Democratic,,1000,,,
Cigars International,Robert Casey,Democratic,Individual,5000,,,
Columbia County Farmers National Bank,Robert Casey,Democratic,Individual,500,,,
Consolidated National Insurance,Robert Casey,Democratic,Individual,250,,,
Credit Union National Association,Robert Casey,\N,,9000,,,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Robert Menニ_ndez,Democratic,,1000,,,
Altig International,Robert Menニ_ndez,Democratic,Individual,2500,,,
Amegy National Bank,Robert Menニ_ndez,\N,Individual,1000,,,
American International Group,Robert Menニ_ndez,Democratic,Individual,1001,,,
Barquin International,Robert Menニ_ndez,Democratic,Individual,500,,,
Bella International Corporation,Robert Menニ_ndez,\N,Individual,800,,,
Building Owners and Managers Association International,Robert Menニ_ndez,\N,,2500,,,
Camac International,Robert Menニ_ndez,Democratic,Individual,5000,,,
Capital International,Robert Menニ_ndez,Democratic,Individual,2000,,,
Cash America International,Robert Menニ_ndez,\N,,21900,,,
Choice Hotels International,Robert Menニ_ndez,Democratic,Individual,5000,,,
Cimmaron International Corporation,Robert Menニ_ndez,Democratic,Individual,5000,,,
Credit Union National Association,Robert Menニ_ndez,Democratic,,9000,,,
Cruise Lines International Association,Robert Menニ_ndez,Democratic,,1000,,,
DORSEY NATIONAL FUND,Robert Menニ_ndez,Democratic,,1000,,,
Axiom International,Robert R Simmons,Republican,Individual,2400,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Roger Wicker,Republican,,10000,,,
Automotive Free International Trade PAC,Roger Wicker,\N,Individual,250,,,
Baxter International,Roger Wicker,\N,,1000,,,
Canadian National Railway Comp,Roger Wicker,Republican,Individual,500,,,
Credit Union National Association,Roger Wicker,Republican,,13000,,,
Cruise Lines International Association,Roger Wicker,\N,,1000,,,
Amarillo National Bank,Roger Williams,\N,Individual,500,,,
American National Bank,Roger Williams,\N,Individual,1000,,,
Cash America International,Roger Williams,\N,Individual,1500,,,
Citizens National Bank,Roger Williams,\N,Individual,2000,,,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Ron Wyden,Democratic,,1500,,,
American International School,Ron Wyden,Democratic,Individual,5000,,,
Arcadia International,Ron Wyden,Democratic,Individual,500,,,
Artco Group International,Ron Wyden,Democratic,Individual,1000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Ron Wyden,Democratic,,1000,,,
Baxter International,Ron Wyden,Democratic,,5500,,,
Blount International Inc,Ron Wyden,Democratic,Individual,2400,,,
Central National-Gottesman,Ron Wyden,Democratic,Individual,500,,,
Choice Hotels International Inc,Ron Wyden,Democratic,Individual,5400,,,
Credit Union National Association,Ron Wyden,Democratic,,12500,,,
Cruise Lines International Association,Ron Wyden,Democratic,,3500,,,
1st. National Community Bank,Ronald Harold Johnson,Republican,Individual,200,,,
ACA International,Ronald Harold Johnson,Republican,,10000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Ronald Harold Johnson,Republican,,15000,,,
Amerilux International,Ronald Harold Johnson,\N,Individual,200,,,
Axiom International Investors,Ronald Harold Johnson,Republican,Individual,5400,,,
CONSERVATIVE NATIONAL COMMITTEE (FKA-CONGRESSIONAL MAJORITY COMMITTEE),Ronald Harold Johnson,Republican,,250,,,
Credit Union National Association,Ronald Harold Johnson,Republican,Individual,1000,,,
Cruise Lines International Association,Ronald Harold Johnson,\N,,1000,,,
ACA International,Roy Blunt,Republican,,9500,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Roy Blunt,Republican,,15000,,,
Acpac Aca International Pac,Roy Blunt,\N,Unknown,-2000,,,
American Defense International,Roy Blunt,Republican,Individual,500,,,
American International Aluminum,Roy Blunt,Republican,Individual,500,,,
American International Automobile Dealers Association,Roy Blunt,Republican,Individual,1000,,,
Austin National Financial Serv,Roy Blunt,Republican,Individual,1000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Roy Blunt,Republican,,1000,,,
Boone County National Bank,Roy Blunt,Republican,Individual,1500,,,
Booneville International Corp.,Roy Blunt,Republican,Individual,200,,,
Brinker International,Roy Blunt,Republican,,5000,,,
Cash America International,Roy Blunt,\N,,2500,,,
Credit Union National Association,Roy Blunt,Republican,,16000,,,
DEDICATED TO ESTABLISHING NATIONAL TEAMWORK PAC (DENT PAC),Roy Blunt,Republican,,500,,,
Brookhaven National Laboratory,Rush Holt,\N,Individual,1000,,,
American International School Of Abuja,Russell Feingold,Democratic,Individual,1000,,,
Baxter International,Russell Feingold,Democratic,Individual,500,,,
Best Western International Inc,Russell Feingold,Democratic,Individual,1000,,,
Canadian National Railroad,Russell Feingold,Democratic,Individual,500,,,
Catalyst International,Russell Feingold,Democratic,Individual,1000,,,
Cra International,Russell Feingold,Democratic,Individual,1000,,,
Credit Union National Association,Russell Feingold,Democratic,,3750,,,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Russell Feingold,Democratic,,308,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Saxby Chambliss,\N,,10000,,,
American International Movers,Saxby Chambliss,\N,Individual,1000,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Saxby Chambliss,\N,,0,,,
Credit Union National Association,Saxby Chambliss,\N,,3000,,,
Credit Union National Association,Sheldon Whitehouse,Democratic,,5000,,,
ACA International,Shelley Capito,Republican,,5000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Shelley Capito,Republican,,10000,,,
American Defense International,Shelley Capito,Republican,Individual,750,,,
American International Automobile Dealers Association,Shelley Capito,Republican,Individual,500,,,
Cash America International,Shelley Capito,Republican,,1000,,,
City National Bank,Shelley Capito,Republican,Individual,3350,,,
Continental National Bank,Shelley Capito,Republican,Individual,300,,,
Credit Union National Association,Shelley Capito,Republican,Individual,1000,,,
Argonne National Lab,Sherrod Brown,Democratic,Individual,450,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Sherrod Brown,\N,,1000,,,
Cash America International,Sherrod Brown,Democratic,,5000,,,
Children's National Medical Center,Sherrod Brown,Democratic,Individual,500,,,
Choice Hotels International,Sherrod Brown,Democratic,Individual,3000,,,
Coldwell Banker International,Sherrod Brown,Democratic,Individual,1000,,,
Colliers International,Sherrod Brown,Democratic,Individual,4800,,,
Credit Union National Association,Sherrod Brown,Democratic,,9000,,,
Cruise Lines International Association,Sherrod Brown,\N,,1500,,,
Colliers International,Stephen Lynch,\N,Individual,250,,,
Cash America International,Steven Daines,\N,,1500,,,
Credit Union National Association,Steven Daines,\N,,1500,,,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Susan Collins,\N,,4000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Susan Collins,Republican,,10000,,,
American Defense International,Susan Collins,Republican,Individual,1000,,,
Camden National Bank,Susan Collins,Republican,Individual,1250,,,
Civil Support International,Susan Collins,Republican,Individual,1000,,,
Credit Union National Association,Susan Collins,\N,,11000,,,
American International Group,Tammy Baldwin,Democratic,Individual,1000,,,
Americantours International,Tammy Baldwin,Democratic,Individual,500,,,
Baxter International,Tammy Baldwin,Democratic,Individual,750,,,
Cellulose Sciences International,Tammy Baldwin,Democratic,Individual,3500,,,
Choice Hotels International,Tammy Baldwin,Democratic,Individual,1000,,,
City National Bank,Tammy Baldwin,Democratic,Individual,250,,,
Credit Union National Association,Tammy Baldwin,Democratic,,11000,,,
Che International Group,Ted Strickland,Democratic,Individual,250,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Thad Cochran,Republican,,10000,,,
Baxter International,Thad Cochran,Republican,,2500,,,
Credit Union National Association,Thad Cochran,Republican,,10000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Thom R Tillis,Republican,,5000,,,
Ab International,Thom R Tillis,Republican,Individual,3000,,,
Brinker International,Thom R Tillis,Republican,,1000,,,
Colliers International,Thom R Tillis,Republican,Individual,2000,,,
Credit Union National Association,Thom R Tillis,Republican,,5000,,,
80-20 NATIONAL ASIAN AMERICAN PAC,Thomas Carper,Democratic,,1500,,,
Brinker International,Thomas Carper,\N,,1000,,,
Colliers International - Baltimore,Thomas Carper,Democratic,Individual,2000,,,
Credit Union National Association,Thomas Carper,Democratic,,8500,,,
ACA International,Thomas Coburn,Republican,,10000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Thomas Coburn,Republican,,5000,,,
Credit Union National Association,Thomas Coburn,Republican,,5000,,,
Brinker International,Thomas Cotton,\N,,0,,,
Collico International,Thomas Del Beccaro,Republican,Individual,250,,,
Baxter International,Thomas Harkin,\N,,1000,,,
Com Products International,Thomas Harkin,\N,Individual,500,,,
ACA International,Tim Johnson,\N,,1000,,,
Credit Union National Association,Tim Johnson,\N,,5000,,,
Access National Bank,Timothy Michael Kaine,Democratic,Individual,500,,,
American International Group,Timothy Michael Kaine,Democratic,Individual,1500,,,
Av International,Timothy Michael Kaine,Democratic,Individual,2500,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Timothy Michael Kaine,\N,,2500,,,
Baxter International,Timothy Michael Kaine,Democratic,Individual,250,,,
Berner International Corp,Timothy Michael Kaine,Democratic,Individual,500,,,
Brooks International,Timothy Michael Kaine,Democratic,Individual,250,,,
Bureau Of National Affairs,Timothy Michael Kaine,Democratic,Individual,250,,,
Childfund International,Timothy Michael Kaine,Democratic,Individual,400,,,
Children's National,Timothy Michael Kaine,Democratic,Individual,250,,,
Colliers International,Timothy Michael Kaine,Democratic,Individual,250,,,
Conservation International,Timothy Michael Kaine,Democratic,Individual,450,,,
Cox International Associates,Timothy Michael Kaine,Democratic,Individual,250,,,
Creative Associates International,Timothy Michael Kaine,Democratic,Individual,3200,,,
Credit Union National Association,Timothy Michael Kaine,Democratic,,11750,,,
Cruise Lines International Association,Timothy Michael Kaine,Democratic,,2000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Timothy Scott,Republican,,15000,,,
Asis International,Timothy Scott,Republican,Individual,500,,,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Timothy Scott,Republican,,3500,,,
Baxter International,Timothy Scott,Republican,,1000,,,
Brinker International,Timothy Scott,Republican,,1000,,,
Building Owners and Managers Association International,Timothy Scott,Republican,,1000,,,
Credit Union National Association,Timothy Scott,Republican,,16500,,,
Cruise Lines International Association,Timothy Scott,Republican,,3000,,,
Aub International,Tom Udall,Democratic,Individual,500,,,
Carlsbad National Bank,Tom Udall,Democratic,Individual,450,,,
Credit Union National Association,Tom Udall,\N,,-2000,,,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,William Cassidy,Republican,,10000,,,
Amarillo National Bank,William Cassidy,Republican,Individual,6400,,,
Brinker International Inc. Political Action Committee,William Cassidy,Republican,Unknown,2500,,,
Brooks International,William Cassidy,Republican,Individual,2600,,300048,
