DonorOrganization,RecipientCandidateNameNormalized,RecipientCandidateParty,DonorEntityType,total,,govtrack_id,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Bill Nelson,Democratic,,4500,,300078,
Americable International Inc.,Bill Nelson,Democratic,Individual,250,,300078,
Berner International Corporation,Bill Nelson,Democratic,Individual,1000,,300078,
Brinker International,Bill Nelson,\N,,1000,,300078,
Collier International,Bill Nelson,Democratic,Individual,500,,300078,
Colliers International,Bill Nelson,Democratic,Individual,500,,300078,
Credit Union National Association,Bill Nelson,\N,,10500,,300078,
Cruise Lines International Association,Bill Nelson,\N,,13000,,300078,
AMEGY BANK  NATIONAL  ASSOC. POLITICAL ACTION COMMITTEE,Bill White,\N,,5000,,0,
American International,Bill White,\N,Individual,1000,,0,
Ba Research International,Bill White,\N,Individual,500,,0,
Camac International,Bill White,\N,Individual,2400,,0,
Cameron International,Bill White,\N,Individual,4800,,0,
Colliers International,Bill White,\N,Individual,4200,,0,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Blanche Lincoln,Democratic,,1000,,0,
Baxter International,Blanche Lincoln,Democratic,,11300,,0,
Brinker International,Blanche Lincoln,Democratic,,2000,,0,
Commercial National Bank,Blanche Lincoln,Democratic,Individual,1000,,0,
Credit Union National Association,Blanche Lincoln,Democratic,,4500,,0,
Cruise Lines International Association,Blanche Lincoln,Democratic,,1000,,0,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Bob Corker,Republican,,10000,,412248,
American International Group,Bob Corker,Republican,Individual,1000,,412248,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Bob Corker,\N,,5500,,412248,
Building Owners and Managers Association International,Bob Corker,\N,,4500,,412248,
Cao International,Bob Corker,Republican,Individual,500,,412248,
Cash America International,Bob Corker,\N,,7000,,412248,
Citizens National Bank,Bob Corker,Republican,Individual,4000,,412248,
Clegg International,Bob Corker,Republican,Individual,1000,,412248,
Community National Bank,Bob Corker,Republican,Individual,1000,,412248,
Credit Union National Association,Bob Corker,\N,,10000,,412248,
Baxter International,Brad Ellsworth,Democratic,Individual,1000,,0,
Calumet National Bank,Brad Ellsworth,Democratic,Individual,250,,0,
Credit Union National Association,Brad Ellsworth,Democratic,,10000,,0,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Brad Ellsworth,Democratic,,1004,,0,
C.g International,Brian Emanuel Schatz,Democratic,Individual,4000,,412507,
Cash America International,Brian Emanuel Schatz,Democratic,,5000,,412507,
Cds International,Brian Emanuel Schatz,Democratic,Individual,1000,,412507,
Choi International,Brian Emanuel Schatz,Democratic,Individual,8708,,412507,
Choice Hotels International,Brian Emanuel Schatz,Democratic,Individual,5200,,412507,
Colliers International,Brian Emanuel Schatz,Democratic,Individual,1250,,412507,
Credit Union National Association,Brian Emanuel Schatz,Democratic,,6000,,412507,
Cruise Lines International Association,Brian Emanuel Schatz,Democratic,,2000,,412507,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Bruce L Poliquin,\N,,3000,,0,
DEDICATED TO ESTABLISHING NATIONAL TEAMWORK PAC (DENT PAC),Bruce L Poliquin,\N,,1000,,0,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Byron Dorgan,Democratic,,1000,,0,
Camp Dresser & Mckee Inc. National,Byron Dorgan,Democratic,Unknown,-2500,,0,
Credit Union National Association,Byron Dorgan,Democratic,,15000,,0,
Cruise Lines International Association,Byron Dorgan,Democratic,,2000,,0,
DORSEY NATIONAL FUND,Byron Dorgan,Democratic,,1000,,0,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Carl Levin,\N,,1000,,0,
Amnesty International Usa,Catherine Cortez Masto,Democratic,Individual,300,,0,
Berner International Corporation,Catherine Cortez Masto,Democratic,Individual,1000,,0,
ACA International,Charles Grassley,Republican,,9500,,300048,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Charles Grassley,Republican,,10000,,300048,
Baxter International,Charles Grassley,Republican,,4000,,300048,
Brinker International,Charles Grassley,Republican,,1000,,300048,
Brokers International Ltd.,Charles Grassley,Republican,Individual,500,,300048,
Building Owners and Managers Association International,Charles Grassley,Republican,,3000,,300048,
CRST International,Charles Grassley,Republican,Individual,2000,,300048,
Credit Union National Association,Charles Grassley,Republican,,18000,,0,
Credit Union National Association,Charles Melancon,Democratic,,2500,,0,
