DonorOrganization,RecipientCandidateNameNormalized,Total,bioguide_id,thomas_id,govtrack_id,fec_id,fec_id2,fec_id3
Retired,Shelley Capito,454970,C001047,1676,400061,S4WV00159,H0WV02138,
Homemaker,Kelly A Ayotte,451580,A000368,2075,412493,S0NH00235,,
Homemaker,Rand Paul,450044,P000603,2082,412492,S0KY00156,,
Self Employed,Mazie Hirono,446248,H001042,1844,412200,S2HI00106,H6HI02251,
Self Employed,Debra S Fischer,439980,F000463,2179,412556,S2NE00094,,
Self Employed,Dean Heller,437023,H001041,1863,412218,S2NV00183,H6NV02164,
Self Employed,Benjamin E Sasse,434780,S001197,2289,412671,S4NE00090,,
Retired,Susan Collins,433000,C001035,1541,300025,S6ME00159,,
Not Employed,Jon Tester,430893,T000464,1829,412244,S6MT00162,,
Self Employed,John Boozman,426549,B001236,1687,400040,S0AR00150,H2AR03176,
Homemaker,John Thune,418525,T000250,1534,400546,S2SD00068,H6SD00085,
Retired,David Vitter,415645,V000127,1609,400418,S4LA00057,H0LA01079,
Self Employed,Roger Wicker,414769,W000437,1226,400432,S8MS00196,H4MS01078,
Retired,Christopher Murphy,406376,M001169,1837,412194,S2CT00132,H6CT05124,
Unknown,Rand Paul,400725,P000603,2082,412492,S0KY00156,,
Retired,John Isakson,391048,I000055,1608,400194,S6GA00119,H8GA06146,
Self Employed,Marion Michael Rounds,387633,R000605,2288,412669,S4SD00049,,
Boies, Schiller & Flexner,Kirsten Gillibrand,383150,G000555,1866,412223,S0NY00410,H6NY20167,
Homemaker,Patrick Joseph Toomey,380800,T000461,2085,400408,S4PA00121,H8PA15096,
Self Employed,Thad Cochran,380100,C000567,213,300023,S8MS00055,,
Self Employed,John Barrasso,375355,B001261,1881,412251,S6WY00068,,
Self Employed,Lisa Murkowski,374822,M001153,1694,300075,S4AK00099,,
Retired,John Boozman,373091,B001236,1687,400040,S0AR00150,H2AR03176,
Homemaker,John Isakson,371300,I000055,1608,400194,S6GA00119,H8GA06146,
Retired,Debra S Fischer,369098,F000463,2179,412556,S2NE00094,,
Retired,Marion Michael Rounds,369007,R000605,2288,412669,S4SD00049,,
Self Employed,Dianne Feinstein,368708,F000062,1332,300043,S0CA00199,,
None,Barbara Mikulski,368034,M000702,802,300073,S6MD00140,,
Self Employed,Angus Stanley King Jr,367862,K000383,2185,412545,S2ME00109,,
Self Employed,Benjamin Cardin,364450,C000141,174,400064,S6MD03177,H6MD03177,
Retired,Timothy Scott,363220,S001184,2056,412471,S4SC00240,H0SC01279,
None,Christopher A Coons,359650,C001088,1984,412390,S0DE00092,,
Homemaker,Ronald Harold Johnson,355146,J000293,2086,412496,S0WI00197,,
Homemaker,David Vitter,354883,V000127,1609,400418,S4LA00057,H0LA01079,
Self Employed,Joe Donnelly,350638,D000607,1850,412205,S2IN00091,H4IN02101,
Not Employed,Christopher A Coons,347942,C001088,1984,412390,S0DE00092,,
Homemaker,John Boozman,341170,B001236,1687,400040,S0AR00150,H2AR03176,
