DonorOrganization,RecipientCandidateNameNormalized,Total,bioguide_id,thomas_id,govtrack_id,fec_id,fec_id2,fec_id3
Thorton and Naumes,Harry Reid,43300,R000146,952,300082,S6NV00028,,
Travelers Companies,Mitch Mcconnell,43300,M000355,1395,300072,S2KY00012,,
Cravath Swaine and Moore LLP,Kirsten Gillibrand,43200,G000555,1866,412223,S0NY00410,H6NY20167,
Girardi Keese,Harry Reid,43200,R000146,952,300082,S6NV00028,,
Morgan Stanley,Cory A Booker,43200,B001288,2194,412598,S4NJ00185,,
Renaissance Technologies,Charles Schumer,43200,S000148,1036,300087,S8NY00082,H0NY16010,
Thorton and Naumes,Elizabeth Warren,43200,W000817,2182,412542,S2MA00170,,
BNY Mellon,Charles Schumer,43150,S000148,1036,300087,S8NY00082,H0NY16010,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Bill Nelson,43100,N000032,859,300078,S8FL00166,,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Claire Mccaskill,43100,M001170,1820,412243,S6MO00305,P80005721,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Debbie Ann Stabenow,43100,S000770,1531,300093,S8MI00281,H6MI08163,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Heidi Heitkamp,43100,H001069,2174,412554,S2ND00099,,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Joe Donnelly,43100,D000607,1850,412205,S2IN00091,H4IN02101,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Jon Tester,43100,T000464,1829,412244,S6MT00162,,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Martin Heinrich,43100,H001046,1937,412281,S2NM00088,H8NM01224,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Mazie Hirono,43100,H001042,1844,412200,S2HI00106,H6HI02251,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Sherrod Brown,43100,B000944,136,400050,S6OH00163,H2OH13033,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Tammy Baldwin,43100,B001230,1558,400013,S2WI00219,H8WI00018,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Timothy Michael Kaine,43100,K000384,2176,412582,S2VA00142,,
General Electric,Richard Shelby,43100,S000320,1049,300089,S6AL00013,,
Goldman Sachs,Bob Corker,43100,C001071,1825,412248,S6TN00216,S4TN00187,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Dean Heller,43100,H001041,1863,412218,S2NV00183,H6NV02164,
Elliott Management,Susan Collins,42850,C001035,1541,300025,S6ME00159,,
Peabody Energy,Roy Blunt,42850,B000575,1464,400034,S0MO00183,H6MO07128,
Unknown,Debbie Ann Stabenow,42716,S000770,1531,300093,S8MI00281,H6MI08163,
Capital Group Companies,Mitch Mcconnell,42700,M000355,1395,300072,S2KY00012,,
JPMorgan Chase,Debbie Ann Stabenow,42680,S000770,1531,300093,S8MI00281,H6MI08163,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Barbara Boxer,42600,B000711,116,300011,S2CA00286,H2CA06028,P80003247
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Christopher A Coons,42600,C001088,1984,412390,S0DE00092,,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Harry Reid,42600,R000146,952,300082,S6NV00028,,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Joe Manchin Iii,42600,M001183,1983,412391,S0WV00090,,
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Patty Murray,42600,M001111,1409,300076,S2WA00189,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Daniel R Coats,42600,C000542,209,402675,S0IN00053,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,David Vitter,42600,V000127,1609,400418,S4LA00057,H0LA01079,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,John Boozman,42600,B001236,1687,400040,S0AR00150,H2AR03176,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,John Mccain,42600,M000303,754,300071,S6AZ00019,P80002801,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Kelly A Ayotte,42600,A000368,2075,412493,S0NH00235,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Marco Rubio,42600,R000595,2084,412491,S0FL00338,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Mark Kirk,42600,K000360,1647,400222,S0IL00261,H0IL10120,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Patrick Joseph Toomey,42600,T000461,2085,400408,S4PA00121,H8PA15096,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Rand Paul,42600,P000603,2082,412492,S0KY00156,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Richard Burr,42600,B001135,153,400054,S4NC00089,H2NC05074,
ExxonMobil,Mitch Mcconnell,42301,M000355,1395,300072,S2KY00012,,
Morgan Lewis and Bockius LLP,Rafael Edward Ted Cruz,42300,C001098,2175,412573,S2TX00312,,
Google,Elizabeth Warren,42275,W000817,2182,412542,S2MA00170,,
Twentieth Century Fox,Barbara Boxer,42250,B000711,116,300011,S2CA00286,H2CA06028,P80003247
Columbia University,Charles Schumer,42200,S000148,1036,300087,S8NY00082,H0NY16010,
J.P. Morgan,Mitch Mcconnell,42200,M000355,1395,300072,S2KY00012,,
state of nd,John Hoeven,42114,H001061,2079,412494,S0ND00093,,
Cantor Fitzgerald,Charles Schumer,42100,S000148,1036,300087,S8NY00082,H0NY16010,
Cooney & Conway,Charles Schumer,42100,S000148,1036,300087,S8NY00082,H0NY16010,
King & Spalding,John Isakson,42050,I000055,1608,400194,S6GA00119,H8GA06146,
Lf Usa,Cory A Booker,42000,B001288,2194,412598,S4NJ00185,,
Lsv Asset Management,Mark Kirk,42000,K000360,1647,400222,S0IL00261,H0IL10120,
Boeing,Roy Blunt,41916,B000575,1464,400034,S0MO00183,H6MO07128,
Goldman Sachs,Harry Reid,41700,R000146,952,300082,S6NV00028,,
Dow Chemical Company,Debbie Ann Stabenow,41607,S000770,1531,300093,S8MI00281,H6MI08163,
Kushner Companies,Cory A Booker,41600,B001288,2194,412598,S4NJ00185,,
Madison Dearborn Partners,Patrick Joseph Toomey,41500,T000461,2085,400408,S4PA00121,H8PA15096,
University Of Washington,Maria Cantwell,41500,C000127,172,300018,S8WA00194,H2WA01054,
Boeing,Timothy Scott,41499,S001184,2056,412471,S4SC00240,H0SC01279,
Kirkland & Ellis,Michael F Bennet,41484,B001267,1965,412330,S0CO00211,,
Not Available,James Inhofe,41450,I000024,583,300055,S4OK00083,H6OK01102,
United Airlines,Patty Murray,41450,M001111,1409,300076,S2WA00189,,
Peabody Energy,Mitch Mcconnell,41400,M000355,1395,300072,S2KY00012,,
Unknown,Patty Murray,41333,M001111,1409,300076,S2WA00189,,
mazzetta company llc,Mark Kirk,41300,K000360,1647,400222,S0IL00261,H0IL10120,
miller and martin llp,Bob Corker,41255,C001071,1825,412248,S6TN00216,S4TN00187,
Citigroup,Michael F Bennet,41250,B001267,1965,412330,S0CO00211,,
Express Scripts,Roy Blunt,41200,B000575,1464,400034,S0MO00183,H6MO07128,
Power Home Remodeling Group,Cory A Booker,41150,B001288,2194,412598,S4NJ00185,,
JPMorgan Chase,Jon Tester,41000,T000464,1829,412244,S6MT00162,,
Unknown,Al Franken,40970,F000457,1969,412378,S8MN00438,,
International Paper,Lamar Alexander,40950,A000360,1695,300002,S2TN00058,P60003225,
NYSE Euronext,Kirsten Gillibrand,40950,G000555,1866,412223,S0NY00410,H6NY20167,
Anschutz Corporation,Michael F Bennet,40900,B001267,1965,412330,S0CO00211,,
MetLife,John Reed,40900,R000122,949,300081,S6RI00163,H0RI02071,
Prudential Financial,Mark Robert Warner,40850,W000805,1897,412321,S6VA00093,P80003023,
Citigroup,Cory A Booker,40750,B001288,2194,412598,S4NJ00185,,
Citigroup,Jon Tester,40700,T000464,1829,412244,S6MT00162,,
New Breed,Richard Burr,40700,B001135,153,400054,S4NC00089,H2NC05074,
Unknown,Mark Kirk,40669,K000360,1647,400222,S0IL00261,H0IL10120,
DRS Technologies,Bill Nelson,40667,N000032,859,300078,S8FL00166,,
Altria,Mitch Mcconnell,40600,M000355,1395,300072,S2KY00012,,
GTCR LLC,Mark Kirk,40600,K000360,1647,400222,S0IL00261,H0IL10120,
None,Shelley Capito,40600,C001047,1676,400061,S4WV00159,H0WV02138,
Polsinelli,Claire Mccaskill,40600,M001170,1820,412243,S6MO00305,P80005721,
Squire Sanders and Dempsey,Rob Portman,40600,P000449,924,400325,S0OH00133,H4OH02032,
Capital One Financial Corporation,Mitch Mcconnell,40500,M000355,1395,300072,S2KY00012,,
Apollo Global Management,Mitch Mcconnell,40450,M000355,1395,300072,S2KY00012,,
Elliott Management,Timothy Scott,40450,S001184,2056,412471,S4SC00240,H0SC01279,
KKR & Co. L.P.,Orrin Hatch,40400,H000338,1351,300052,S6UT00063,P00003806,
None,Timothy Scott,40400,S001184,2056,412471,S4SC00240,H0SC01279,
Viacom,Kirsten Gillibrand,40300,G000555,1866,412223,S0NY00410,H6NY20167,
Comcast,Patrick Joseph Toomey,40200,T000461,2085,400408,S4PA00121,H8PA15096,
AT&T,Harry Reid,40150,R000146,952,300082,S6NV00028,,
Disney,Patrick Leahy,40100,L000174,1383,300065,S4VT00017,,
U.S. Government,Mitch Mcconnell,40100,M000355,1395,300072,S2KY00012,,
Union Pacific,Mitch Mcconnell,40050,M000355,1395,300072,S2KY00012,,
IntercontinentalExchange,Charles Schumer,40000,S000148,1036,300087,S8NY00082,H0NY16010,
Richie's Pharmacy,John Barrasso,40000,B001261,1881,412251,S6WY00068,,
Goldman Sachs,Timothy Scott,39850,S001184,2056,412471,S4SC00240,H0SC01279,
Fragomen, Del Rey, Bernsen & Loewy, Ll,Charles Schumer,39800,S000148,1036,300087,S8NY00082,H0NY16010,
Paul Weiss Rifkind Wharton and Garrison LLP,Richard Durbin,39800,D000563,326,300038,S6IL00151,H2IL20026,
Simpson Thacher and Bartlett LLP,Charles Schumer,39550,S000148,1036,300087,S8NY00082,H0NY16010,
Edison Chouest Offshore,Lisa Murkowski,39500,M001153,1694,300075,S4AK00099,,
Facebook,Cory A Booker,39500,B001288,2194,412598,S4NJ00185,,
Ford Motor Company,Debbie Ann Stabenow,39475,S000770,1531,300093,S8MI00281,H6MI08163,
UPS,Mitch Mcconnell,39450,M000355,1395,300072,S2KY00012,,
Duke Energy,Richard Burr,39319,B001135,153,400054,S4NC00089,H2NC05074,
Thorton and Naumes,Sheldon Whitehouse,39200,W000802,1823,412247,S6RI00221,,
York Capital Management,Kirsten Gillibrand,39200,G000555,1866,412223,S0NY00410,H6NY20167,
Blackstone,Rob Portman,39170,P000449,924,400325,S0OH00133,H4OH02032,
Jones Day,Rafael Edward Ted Cruz,39100,C001098,2175,412573,S2TX00312,,
None,Amy Klobuchar,39100,K000367,1826,412242,S6MN00267,,
Greenberg Traurig, LLP,Bill Nelson,39075,N000032,859,300078,S8FL00166,,
Massachusetts General Hospital,Elizabeth Warren,39050,W000817,2182,412542,S2MA00170,,
Blue Mountain Capital Management,Charles Schumer,39000,S000148,1036,300087,S8NY00082,H0NY16010,
General Electric,Roy Blunt,39000,B000575,1464,400034,S0MO00183,H6MO07128,
Kindred Healthcare,Robert Men�ndez,39000,M000639,791,400272,S6NJ00289,H2NJ13075,
Schulte Roth and Zabel LLP,Kirsten Gillibrand,39000,G000555,1866,412223,S0NY00410,H6NY20167,
Sanford Health,John Thune,38943,T000250,1534,400546,S2SD00068,H6SD00085,
Carella Byrne,Cory A Booker,38850,B001288,2194,412598,S4NJ00185,,
General Electric,John Mccain,38800,M000303,754,300071,S6AZ00019,P80002801,
Wfu Baptist Medical Center,Richard Burr,38740,B001135,153,400054,S4NC00089,H2NC05074,
Leon Medical Centers,Robert Men�ndez,38700,M000639,791,400272,S6NJ00289,H2NJ13075,
Maverick Capital,Kirsten Gillibrand,38700,G000555,1866,412223,S0NY00410,H6NY20167,
Blue Ridge Capital,Kirsten Gillibrand,38600,G000555,1866,412223,S0NY00410,H6NY20167,
Highfields Capital Management,Mark Kirk,38600,K000360,1647,400222,S0IL00261,H0IL10120,
USAA,John Cornyn,38600,C001056,1692,300027,S2TX00106,,
Aetna,Kelly A Ayotte,38550,A000368,2075,412493,S0NH00235,,
Blackstone,John Cornyn,38500,C001056,1692,300027,S2TX00106,,
Citigroup,Shelley Capito,38500,C001047,1676,400061,S4WV00159,H0WV02138,
The Carlyle Group,Mark Robert Warner,38500,W000805,1897,412321,S6VA00093,P80003023,
Promontory Financial Group,Charles Schumer,38450,S000148,1036,300087,S8NY00082,H0NY16010,
KKR & Co. L.P.,John Mccain,38400,M000303,754,300071,S6AZ00019,P80002801,
Rjr,Richard Burr,38376,B001135,153,400054,S4NC00089,H2NC05074,
Citigroup,Mark Robert Warner,38350,W000805,1897,412321,S6VA00093,P80003023,
McDermott Will and Emery,Robert Men�ndez,38350,M000639,791,400272,S6NJ00289,H2NJ13075,
Verizon Communications,Robert Men�ndez,38350,M000639,791,400272,S6NJ00289,H2NJ13075,
White and Case LLP,Kirsten Gillibrand,38350,G000555,1866,412223,S0NY00410,H6NY20167,
Lazard,Cory A Booker,38300,B001288,2194,412598,S4NJ00185,,
Citigroup,Patrick Joseph Toomey,38200,T000461,2085,400408,S4PA00121,H8PA15096,
Baker Hughes,Mike Lee,38050,L000577,2080,412495,S0UT00165,,
Boeing,Richard Durbin,38000,D000563,326,300038,S6IL00151,H2IL20026,
Simpson Thacher and Bartlett LLP,Kirsten Gillibrand,37900,G000555,1866,412223,S0NY00410,H6NY20167,
JPMorgan Chase,Cory A Booker,37800,B001288,2194,412598,S4NJ00185,,
Kirkham, Alisa Ms,Mike Lee,37800,L000577,2080,412495,S0UT00165,,
Yale University,Richard Blumenthal,37800,B001277,2076,412490,S0CT00177,,
JPMorgan Chase,Mitch Mcconnell,37775,M000355,1395,300072,S2KY00012,,
Wells Fargo,Charles Schumer,37700,S000148,1036,300087,S8NY00082,H0NY16010,
Elliott Management,John Cornyn,37650,C001056,1692,300027,S2TX00106,,
U.S. Bancorp,Amy Klobuchar,37650,K000367,1826,412242,S6MN00267,,
New Breed Logistics,Thom R Tillis,37600,T000476,2291,412668,S4NC00162,,
Cardinal Health,Rob Portman,37500,P000449,924,400325,S0OH00133,H4OH02032,
Goldman Sachs,John Cornyn,37500,C001056,1692,300027,S2TX00106,,
Goldman Sachs,Patrick Joseph Toomey,37500,T000461,2085,400408,S4PA00121,H8PA15096,
Lockheed Martin,Charles Schumer,37500,S000148,1036,300087,S8NY00082,H0NY16010,
The Carlyle Group,Kirsten Gillibrand,37500,G000555,1866,412223,S0NY00410,H6NY20167,
Girardi and Keese,Patrick Leahy,37400,L000174,1383,300065,S4VT00017,,
Visa,Jon Tester,37400,T000464,1829,412244,S6MT00162,,
Mccombs Enterprises,Rafael Edward Ted Cruz,37350,C001098,2175,412573,S2TX00312,,
Squire Sanders,Rob Portman,37350,P000449,924,400325,S0OH00133,H4OH02032,
Blackstone,Patrick Joseph Toomey,37235,T000461,2085,400408,S4PA00121,H8PA15096,
United Food and Commercial Workers International Union,Robert Casey,37229,C001070,1828,412246,S6PA00217,,
Buchanan Ingersoll & Rooney,Robert Casey,37219,C001070,1828,412246,S6PA00217,,
Patton Boggs,Michael F Bennet,37176,B001267,1965,412330,S0CO00211,,
Fidelity,Richard Shelby,37000,S000320,1049,300089,S6AL00013,,
Travelers Companies,Christopher Murphy,37000,M001169,1837,412194,S2CT00132,H6CT05124,
Retired,Jeffrey Alan Merkley,36950,M001176,1900,412325,S8OR00207,,
Elliott Management,John Mccain,36900,M000303,754,300071,S6AZ00019,P80002801,
Self Employed,Jefferson Sessions,36750,S001141,1548,300088,S6AL00195,,
W.L. Gore and Associates,Christopher A Coons,36750,C001088,1984,412390,S0DE00092,,
Grant & Eisenhofer,Robert Men�ndez,36700,M000639,791,400272,S6NJ00289,H2NJ13075,
Hallmark Cards,Roy Blunt,36700,B000575,1464,400034,S0MO00183,H6MO07128,
Foley & Lardner,Ronald Harold Johnson,36650,J000293,2086,412496,S0WI00197,,
Sac Capital Advisors,Patrick Joseph Toomey,36500,T000461,2085,400408,S4PA00121,H8PA15096,
Sullivan and Cromwell LLP,Christopher Murphy,36500,M001169,1837,412194,S2CT00132,H6CT05124,
Brand Sonnenschine & Co,Cory A Booker,36400,B001288,2194,412598,S4NJ00185,,
Elliott Management,Mitch Mcconnell,36400,M000355,1395,300072,S2KY00012,,
Elliott Management,John Boozman,36261,B001236,1687,400040,S0AR00150,H2AR03176,
Elliott Management,Orrin Hatch,36250,H000338,1351,300052,S6UT00063,P00003806,
Elliott Management,Roger Wicker,36250,W000437,1226,400432,S8MS00196,H4MS01078,
Charmer Sunbelt Group,Charles Schumer,36200,S000148,1036,300087,S8NY00082,H0NY16010,
Elliott Management,Lindsey Graham,36050,G000359,452,300047,S0SC00149,H4SC03087,
Blackstone,Thomas Carper,36000,C000174,179,300019,S8DE00079,,
Blue Ridge Capital,Charles Schumer,36000,S000148,1036,300087,S8NY00082,H0NY16010,
Centene,Joe Manchin Iii,36000,M001183,1983,412391,S0WV00090,,
PricewaterhouseCoopers,Charles Schumer,36000,S000148,1036,300087,S8NY00082,H0NY16010,
Prime, Inc.,Roy Blunt,35900,B000575,1464,400034,S0MO00183,H6MO07128,
Goldman Sachs,Mark Kirk,35850,K000360,1647,400222,S0IL00261,H0IL10120,
Not Available,Mazie Hirono,35850,H001042,1844,412200,S2HI00106,H6HI02251,
Guardian Life Insurance Company of America,Harry Reid,35800,R000146,952,300082,S6NV00028,,
Humanscale,Timothy Scott,35800,S001184,2056,412471,S4SC00240,H0SC01279,
University Of Pennsylvania,Robert Casey,35700,C001070,1828,412246,S6PA00217,,
Fidelity,Harry Reid,35600,R000146,952,300082,S6NV00028,,
Georgia Power Company,John Isakson,35600,I000055,1608,400194,S6GA00119,H8GA06146,
Holland and Knight,Bill Nelson,35500,N000032,859,300078,S8FL00166,,
Retired,Robert Casey,35441,C001070,1828,412246,S6PA00217,,
UBS,Charles Schumer,35400,S000148,1036,300087,S8NY00082,H0NY16010,
belfer management llc,Richard Blumenthal,35400,B001277,2076,412490,S0CT00177,,
DLA Piper,Timothy Michael Kaine,35250,K000384,2176,412582,S2VA00142,,
American Electric Power,Joe Manchin Iii,35200,M001183,1983,412391,S0WV00090,,
Chevron,Mitch Mcconnell,35200,M000355,1395,300072,S2KY00012,,
Facebook,Charles Schumer,35200,S000148,1036,300087,S8NY00082,H0NY16010,
Boies, Schiller & Flexner,Richard Blumenthal,35150,B001277,2076,412490,S0CT00177,,
Marathon Petroleum,Mitch Mcconnell,35150,M000355,1395,300072,S2KY00012,,
Alticor,Kelly A Ayotte,35100,A000368,2075,412493,S0NH00235,,
eli and edythe broad foundation,Charles Schumer,35100,S000148,1036,300087,S8NY00082,H0NY16010,
Unknown,Mike Lee,35050,L000577,2080,412495,S0UT00165,,
Boeing,Richard Shelby,35000,S000320,1049,300089,S6AL00013,,
Liberty Mutual Group,Michael Crapo,35000,C000880,250,300030,S8ID00027,H2ID02034,
Powell Construction,Bob Corker,35000,C001071,1825,412248,S6TN00216,S4TN00187,
Toys R Us,Amy Klobuchar,35000,K000367,1826,412242,S6MN00267,,
Warburg Pincus,Orrin Hatch,35000,H000338,1351,300052,S6UT00063,P00003806,
Berger & Montague,Robert Casey,34950,C001070,1828,412246,S6PA00217,,
Oaktree Capital Management,Orrin Hatch,34900,H000338,1351,300052,S6UT00063,P00003806,
Sullivan and Cromwell LLP,Mark Robert Warner,34900,W000805,1897,412321,S6VA00093,P80003023,
Wachtell, Lipton, Rosen & Katz,Kirsten Gillibrand,34850,G000555,1866,412223,S0NY00410,H6NY20167,
State Of Connecticut,Richard Blumenthal,34831,B001277,2076,412490,S0CT00177,,
Van Wagner,Charles Schumer,34800,S000148,1036,300087,S8NY00082,H0NY16010,
Comcast,Patrick Leahy,34750,L000174,1383,300065,S4VT00017,,
RPM International, Inc.,Dan Sullivan,34700,S001198,2290,412665,S4AK00214,,
First Energy,Joe Manchin Iii,34650,M001183,1983,412391,S0WV00090,,
DLA Piper,Charles Schumer,34600,S000148,1036,300087,S8NY00082,H0NY16010,
Goldman Sachs,Richard Shelby,34600,S000320,1049,300089,S6AL00013,,
Jones Day,Patrick Joseph Toomey,34600,T000461,2085,400408,S4PA00121,H8PA15096,
BNY Mellon,Mitch Mcconnell,34550,M000355,1395,300072,S2KY00012,,
Comcast,Mitch Mcconnell,34550,M000355,1395,300072,S2KY00012,,
Delta Air Lines,Charles Schumer,34500,S000148,1036,300087,S8NY00082,H0NY16010,
Goodwin Procter LLP,Elizabeth Warren,34500,W000817,2182,412542,S2MA00170,,
Elliott Management,Debra S Fischer,34497,F000463,2179,412556,S2NE00094,,
Girardi Keese,Patrick Leahy,34464,L000174,1383,300065,S4VT00017,,
Cohen Group, The,Susan Collins,34393,C001035,1541,300025,S6ME00159,,
Citigroup,Christopher A Coons,34350,C001088,1984,412390,S0DE00092,,
Blackstone,Kelly A Ayotte,34300,A000368,2075,412493,S0NH00235,,
Kasowitz, Benson, Torres & Friedman,Charles Schumer,34300,S000148,1036,300087,S8NY00082,H0NY16010,
Visa,Charles Schumer,34300,S000148,1036,300087,S8NY00082,H0NY16010,
Elliott Management,Daniel R Coats,34261,C000542,209,402675,S0IN00053,,
State Of Washington,Patty Murray,34250,M001111,1409,300076,S2WA00189,,
Unknown,James Inhofe,34225,I000024,583,300055,S4OK00083,H6OK01102,
American Express,Richard Shelby,34200,S000320,1049,300089,S6AL00013,,
Elliott Management,Shelley Capito,34200,C001047,1676,400061,S4WV00159,H0WV02138,
Renaissance Technologies,Harry Reid,34200,R000146,952,300082,S6NV00028,,
Unknown,Joni K Ernst,34170,E000295,2283,412667,S4IA00129,,
Aetna,Mitch Mcconnell,34150,M000355,1395,300072,S2KY00012,,
Accurso Law Firm,Claire Mccaskill,34100,M001170,1820,412243,S6MO00305,P80005721,
Hospital Corporation of America,Bob Corker,34100,C001071,1825,412248,S6TN00216,S4TN00187,
Paul, Weiss, Rifkind, Wharton Et Al,Dan Sullivan,34001,S001198,2290,412665,S4AK00214,,
Berger & Montague,Elizabeth Warren,34000,W000817,2182,412542,S2MA00170,,
Brandeis University,Elizabeth Warren,34000,W000817,2182,412542,S2MA00170,,
Harris Corporation,Mark Robert Warner,34000,W000805,1897,412321,S6VA00093,P80003023,
Merck,Robert Men�ndez,33900,M000639,791,400272,S6NJ00289,H2NJ13075,
Williams & Jensen,Rob Portman,33900,P000449,924,400325,S0OH00133,H4OH02032,
Wells Fargo,Mark Robert Warner,33850,W000805,1897,412321,S6VA00093,P80003023,
Novogradac & Company Llp,Pat Roberts,33800,R000307,968,300083,S6KS00080,H0KS01016,
Cablevision Systems,Charles Schumer,33750,S000148,1036,300087,S8NY00082,H0NY16010,
Corning,Charles Schumer,33750,S000148,1036,300087,S8NY00082,H0NY16010,
Deloitte,Mitch Mcconnell,33750,M000355,1395,300072,S2KY00012,,
DuPont,Christopher A Coons,33700,C001088,1984,412390,S0DE00092,,
Thorton and Naumes,Sherrod Brown,33700,B000944,136,400050,S6OH00163,H2OH13033,
Cintas Corporation,Rob Portman,33600,P000449,924,400325,S0OH00133,H4OH02032,
Coca-Cola Company,John Isakson,33600,I000055,1608,400194,S6GA00119,H8GA06146,
Law Offices of Peter G. Angelos ,Charles Schumer,33600,S000148,1036,300087,S8NY00082,H0NY16010,
Law Offices of Peter G. Angelos ,Harry Reid,33600,R000146,952,300082,S6NV00028,,
Robins Kaplan,Amy Klobuchar,33600,K000367,1826,412242,S6MN00267,,
Unknown,Michael Crapo,33500,C000880,250,300030,S8ID00027,H2ID02034,
Elliott Management,Dean Heller,33497,H001041,1863,412218,S2NV00183,H6NV02164,
WellPoint,Mitch Mcconnell,33450,M000355,1395,300072,S2KY00012,,
Kindred Healthcare,Bill Nelson,33400,N000032,859,300078,S8FL00166,,
Comcast,Kirsten Gillibrand,33375,G000555,1866,412223,S0NY00410,H6NY20167,
Air Products and Chemicals,Patrick Joseph Toomey,33350,T000461,2085,400408,S4PA00121,H8PA15096,
DaVita Health Care Partners,Michael F Bennet,33300,B001267,1965,412330,S0CO00211,,
Marsh and McLennan Companies,Mitch Mcconnell,33300,M000355,1395,300072,S2KY00012,,
Boeing,Lindsey Graham,33293,G000359,452,300047,S0SC00149,H4SC03087,
Student,Rand Paul,33253,P000603,2082,412492,S0KY00156,,
Bingham McCutchen LLP,Elizabeth Warren,33250,W000817,2182,412542,S2MA00170,,
McKinsey and Company,Benjamin E Sasse,33250,S001197,2289,412671,S4NE00090,,
Medco Health Solutions,Robert Men�ndez,33250,M000639,791,400272,S6NJ00289,H2NJ13075,
Greenberg Traurig, LLP,Mark Kirk,33200,K000360,1647,400222,S0IL00261,H0IL10120,
Blackstone,John Thune,33199,T000250,1534,400546,S2SD00068,H6SD00085,
Edward D. Jones & Co,Roy Blunt,33100,B000575,1464,400034,S0MO00183,H6MO07128,
Goldman Sachs,Mark Robert Warner,33100,W000805,1897,412321,S6VA00093,P80003023,
KKR & Co. L.P.,Mitch Mcconnell,33100,M000355,1395,300072,S2KY00012,,
M Financial Group,Ron Wyden,33100,W000779,1247,300100,S6OR00110,H0OR03026,
General Motors,Debbie Ann Stabenow,33050,S000770,1531,300093,S8MI00281,H6MI08163,
New York Life,Kirsten Gillibrand,33050,G000555,1866,412223,S0NY00410,H6NY20167,
Day & Zimmermann,Patrick Joseph Toomey,32950,T000461,2085,400408,S4PA00121,H8PA15096,
Anheuser-Busch,Roy Blunt,32900,B000575,1464,400034,S0MO00183,H6MO07128,
Blackstone,Pat Roberts,32800,R000307,968,300083,S6KS00080,H0KS01016,
Montefiore Medical Center,Charles Schumer,32800,S000148,1036,300087,S8NY00082,H0NY16010,
Saba Capital,Cory A Booker,32800,B001288,2194,412598,S4NJ00185,,
General Dynamics,Dianne Feinstein,32750,F000062,1332,300043,S0CA00199,,
Steptoe & Johnson,Michael F Bennet,32750,B001267,1965,412330,S0CO00211,,
U.S. Bancorp,Rob Portman,32750,P000449,924,400325,S0OH00133,H4OH02032,
Intuit,Harry Reid,32700,R000146,952,300082,S6NV00028,,
york capital,Charles Schumer,32700,S000148,1036,300087,S8NY00082,H0NY16010,
K&L Gates,Robert Casey,32695,C001070,1828,412246,S6PA00217,,
Merck,Cory A Booker,32600,B001288,2194,412598,S4NJ00185,,
Walton Street Capital,Charles Schumer,32600,S000148,1036,300087,S8NY00082,H0NY16010,
Blackstone,Mark Kirk,32500,K000360,1647,400222,S0IL00261,H0IL10120,
Cancer Treatment Centers,Jeff Flake,32500,F000444,1633,400134,S2AZ00141,H0AZ01184,
Citadel,Richard Shelby,32500,S000320,1049,300089,S6AL00013,,
Abbott Laboratories,Mark Kirk,32450,K000360,1647,400222,S0IL00261,H0IL10120,
Susman Godfrey LLP,Kirsten Gillibrand,32400,G000555,1866,412223,S0NY00410,H6NY20167,
Comcast,Michael F Bennet,32350,B001267,1965,412330,S0CO00211,,
Michigan State University,Debbie Ann Stabenow,32330,S000770,1531,300093,S8MI00281,H6MI08163,
shipman and goodwin llp,Christopher Murphy,32301,M001169,1837,412194,S2CT00132,H6CT05124,
Thorton and Naumes,Richard Durbin,32300,D000563,326,300038,S6IL00151,H2IL20026,
Federated Investors, Inc.,Robert Men�ndez,32200,M000639,791,400272,S6NJ00289,H2NJ13075,
Hollister, Inc.,Mark Kirk,32200,K000360,1647,400222,S0IL00261,H0IL10120,
Not Available,Patty Murray,32161,M001111,1409,300076,S2WA00189,,
Guardian Life Insurance Company of America,John Thune,32150,T000250,1534,400546,S2SD00068,H6SD00085,
